variavel,variavel_z,variavel_legenda,valor,valor_z,adequabilidade
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.62620173614296,0.8439516544354285,0.34930835014207673
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.78344540077566,0.8689194155042603,0.3563682903608329
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.94068906540838,0.8938871765730946,0.3636599034857794
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.09793273004108,0.9188549376419264,0.37118485714665694
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.25517639467378,0.9438226987107583,0.37894439859546314
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.4124200593065,0.9687904597795924,0.38693930802824805
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.5696637239392,0.9937582208484244,0.3951698506617181
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.72690738857192,1.0187259819172585,0.4036357279165835
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,84.88415105320462,1.0436937429860904,0.4123360281231902
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.04139471783733,1.0686615040549245,0.4212691772308699
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.19863838247004,1.0936292651237565,0.43043289006924507
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.35588204710274,1.1185970261925884,0.43982412277616906
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.51312571173546,1.1435647872614225,0.44943902707110883
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.67036937636816,1.1685325483302544,0.4592729071127612
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.82761304100086,1.1935003093990864,0.4693201797331876
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,85.98485670563358,1.2184680704679205,0.4795743388852994
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.14210037026628,1.2434358315367524,0.49002792517361504
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.29934403489898,1.2684035926055843,0.5006725013571032
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.4565876995317,1.2933713536744185,0.5114986347149593
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.6138313641644,1.3183391147432504,0.5224958871489145
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.77107502879711,1.3433068758120845,0.5336528138568013
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,86.92831869342982,1.3682746368809164,0.5449569713497195
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.08556235806253,1.3932423979497506,0.5563949354980634
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.24280602269523,1.4182101590185825,0.567952330179028
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.40004968732794,1.4431779200874144,0.5796138669604092
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.55729335196065,1.4681456811562485,0.5913633960933954
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.71453701659335,1.4931134422250805,0.6031839689029255
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,87.87178068122606,1.5180812032939124,0.6150579114610667
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.02902434585877,1.5430489643627465,0.6269669092109597
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.18626801049147,1.5680167254315784,0.6388921019814434
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.34351167512419,1.5929844865004126,0.6508141886014718
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.50075533975689,1.6179522475692445,0.6627135400956068
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.65799900438961,1.6429200086380786,0.6745703202245327
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.81524266902231,1.6678877697069106,0.6863646119348451
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,88.97248633365501,1.6928555307757425,0.6980765481077847
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.12972999828773,1.7178232918445766,0.7096864448536158
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.28697366292043,1.7427910529134085,0.7211749354931133
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.44421732755313,1.7677588139822404,0.7325231033047848
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.60146099218585,1.7927265750510746,0.7437126110993978
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.75870465681855,1.8176943361199065,0.7547258257139661
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,89.91594832145125,1.8426620971887384,0.7655459355954816
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,90.07319198608397,1.8676298582575726,0.7761570597686057
bio4_sazonalidade_temperatura,bio4_sazonalidade_temperatura_z,Bio4 sazonalidade temperatura,25.181279067993167,-1.353535913296831,0.00911181630993192
