lon,lat,pa,tipo,pred,modelo,n_modelos
-50.083333333333336,-1.0833333333333304,0,background,0.3148700148181836,GLM,1
-65.91666666666667,-0.5833333333333304,0,background,0.0504475394539193,GLM,1
-58.083333333333336,-10.916666666666664,0,background,0.02023405273323745,GLM,1
-64.41666666666667,-4.08333333333333,0,background,0.03578262621041708,GLM,1
-60.91666666666667,-7.08333333333333,0,background,0.00313218130181404,GLM,1
-72.25,-6.58333333333333,0,background,0.00493789283761166,GLM,1
-68.75,-5.08333333333333,0,background,0.03695747155359116,GLM,1
-62.25,-1.4166666666666643,0,background,0.03378810183106825,GLM,1
-58.41666666666667,-8.749999999999996,0,background,0.01634421963381546,GLM,1
-70.08333333333333,-10.249999999999996,0,background,0.01719208156023181,GLM,1
-64.25,-10.916666666666664,0,background,0.0842366517691618,GLM,1
-52.41666666666667,-11.749999999999996,0,background,0.00802576597925158,GLM,1
-69.75,-7.416666666666664,0,background,0.02231639194680589,GLM,1
-69.75,-8.416666666666664,0,background,0.02548180334942442,GLM,1
-63.41666666666667,-5.916666666666664,0,background,0.03942400305692072,GLM,1
-50.91666666666667,-8.749999999999996,0,background,0.00200328082986495,GLM,1
-63.75,-5.58333333333333,0,background,0.0157619136099214,GLM,1
-50.75,-10.08333333333333,0,background,0.01461627151070054,GLM,1
-67.41666666666667,-9.58333333333333,0,background,0.41358433655028254,GLM,1
-51.583333333333336,-0.4166666666666643,0,background,0.38573690176003794,GLM,1
-67.75,-7.7499999999999964,0,background,0.39081490775898514,GLM,1
-45.91666666666667,-3.2499999999999964,0,background,0.03020292092125723,GLM,1
-62.583333333333336,-1.7499999999999971,0,background,0.00462429431559241,GLM,1
-54.583333333333336,-12.749999999999996,0,background,7.047168399843112e-5,GLM,1
-58.91666666666667,-10.58333333333333,0,background,0.00100172477556926,GLM,1
-52.583333333333336,-3.749999999999997,0,background,0.02717663515774879,GLM,1
-60.083333333333336,0.7500000000000027,0,background,0.03561877242725138,GLM,1
-54.083333333333336,-2.7499999999999964,0,background,0.1320653111553349,GLM,1
-53.41666666666667,-4.416666666666664,0,background,0.0129691212230389,GLM,1
-66.08333333333333,-1.2499999999999971,0,background,0.00673381470866671,GLM,1
-69.91666666666667,-5.916666666666664,0,background,0.08510531008495914,GLM,1
-57.583333333333336,-9.58333333333333,0,background,0.01283235690145386,GLM,1
-51.41666666666667,-2.4166666666666643,0,background,0.14423428729838345,GLM,1
-51.083333333333336,-2.4166666666666643,0,background,0.10255636808579734,GLM,1
-49.583333333333336,-7.08333333333333,0,background,0.05903946410752089,GLM,1
-54.91666666666667,-3.2499999999999964,0,background,0.1307761171205724,GLM,1
-48.91666666666667,-4.08333333333333,0,background,0.01868739282763863,GLM,1
-45.75,-4.416666666666664,0,background,0.00198242939955738,GLM,1
-71.41666666666667,-7.916666666666664,0,background,0.1557023964461844,GLM,1
-68.08333333333333,-1.5833333333333304,0,background,2.7130929355496124e-6,GLM,1
-47.583333333333336,-4.2499999999999964,0,background,0.00331080362116103,GLM,1
-60.75,3.750000000000002,0,background,0.09996601987802443,GLM,1
-62.75,-4.7499999999999964,0,background,0.00265627012162068,GLM,1
-59.083333333333336,-8.916666666666664,0,background,0.06327908187183122,GLM,1
-59.083333333333336,-0.5833333333333304,0,background,0.1368592472693236,GLM,1
-58.083333333333336,-4.2499999999999964,0,background,0.20277207175046105,GLM,1
-62.25,3.0833333333333357,0,background,0.02138892592754043,GLM,1
-57.25,-1.5833333333333304,0,background,0.41639519960914406,GLM,1
