modelo,AUC,especificidade,sensibilidade,fpr,n,presencas,background,rotulo
BRT,0.8382445635045698,0.9431137724550899,0.47368421052631576,0.05688622754491013,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9431137724550899,0.5,0.05688622754491013,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9401197604790419,0.5,0.05988023952095811,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.937125748502994,0.5,0.06287425149700598,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9341317365269461,0.5,0.06586826347305386,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9311377245508982,0.5,0.06886227544910184,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9311377245508982,0.5263157894736842,0.06886227544910184,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9281437125748503,0.5263157894736842,0.07185628742514971,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9251497005988024,0.5263157894736842,0.07485029940119758,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9221556886227545,0.5263157894736842,0.07784431137724546,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9191616766467066,0.5263157894736842,0.08083832335329344,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9161676646706587,0.5263157894736842,0.08383233532934131,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9131736526946108,0.5263157894736842,0.08682634730538918,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9101796407185628,0.5263157894736842,0.08982035928143717,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9101796407185628,0.5526315789473685,0.08982035928143717,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.907185628742515,0.5526315789473685,0.09281437125748504,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9041916167664671,0.5526315789473685,0.09580838323353291,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9011976047904192,0.5526315789473685,0.09880239520958078,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9011976047904192,0.5789473684210527,0.09880239520958078,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8982035928143712,0.5789473684210527,0.10179640718562877,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8982035928143712,0.6052631578947368,0.10179640718562877,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8952095808383234,0.6052631578947368,0.10479041916167664,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8922155688622755,0.6052631578947368,0.10778443113772451,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8892215568862275,0.6052631578947368,0.1107784431137725,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8862275449101796,0.6052631578947368,0.11377245508982037,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8832335329341318,0.6052631578947368,0.11676646706586824,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8802395209580839,0.6052631578947368,0.11976047904191611,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8772455089820359,0.6052631578947368,0.1227544910179641,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.874251497005988,0.6052631578947368,0.12574850299401197,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8712574850299402,0.6052631578947368,0.12874251497005984,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8682634730538922,0.6052631578947368,0.13173652694610782,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8682634730538922,0.631578947368421,0.13173652694610782,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8652694610778443,0.631578947368421,0.1347305389221557,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8622754491017964,0.631578947368421,0.13772455089820357,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8592814371257484,0.631578947368421,0.14071856287425155,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8562874251497006,0.631578947368421,0.14371257485029942,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8532934131736527,0.631578947368421,0.1467065868263473,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8502994011976048,0.6578947368421053,0.14970059880239517,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8473053892215568,0.6578947368421053,0.15269461077844315,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.844311377245509,0.6578947368421053,0.15568862275449102,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.844311377245509,0.6842105263157895,0.15568862275449102,372,38,334,BRT (AUC = 0.838)
