lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-65.91666666666667,-7.08333333333333,79.2574691772461,39.01773452758789,32.329498291015625,26.048084259033203,2624,352,45,585,311,Background amazônico
-61.583333333333336,3.5833333333333357,85.56847381591797,62.914676666259766,32.8754997253418,26.034584045410156,1965,350,59,281,902,Background amazônico
-67.41666666666667,-3.2499999999999964,85.32810974121094,33.329368591308594,31.52174949645996,26.221750259399414,2855,303,157,611,671,Background amazônico
-68.58333333333333,-5.416666666666664,82.07611083984375,39.35306167602539,31.517250061035156,25.92595672607422,2756,338,93,638,324,Background amazônico
-59.583333333333336,-8.416666666666664,69.8731689453125,35.17534637451172,33.8025016784668,25.759292602539063,2056,318,11,288,136,Background amazônico
-52.91666666666667,-1.9166666666666643,82.75019073486328,56.407081604003906,32.4422492980957,26.165624618530273,1831,295,32,121,662,Background amazônico
-64.25,-3.9166666666666643,87.02156066894531,26.655685424804688,31.925498962402344,26.52716636657715,2235,262,90,460,448,Background amazônico
-63.91666666666667,-2.2499999999999973,89.67520904541016,24.560976028442383,31.502750396728516,26.304290771484375,2845,322,159,635,760,Background amazônico
-73.08333333333333,-6.7499999999999964,80.35144805908203,47.73506164550781,31.217750549316406,25.607166290283203,2440,290,91,710,303,Background amazônico
-57.583333333333336,1.5833333333333357,78.74073028564453,54.97317886352539,32.11000061035156,25.766624450683594,1863,342,54,189,390,Background amazônico
-55.75,-10.416666666666664,67.558837890625,51.220985412597656,35.91175079345703,25.862709045410156,2072,339,7,309,956,Background amazônico
-51.25,-8.416666666666664,72.33602142333984,35.06967544555664,34.08224868774414,24.933292388916016,1963,291,10,335,844,Background amazônico
