especie_padrao,especie,lon,lat,fonte,origem,id_origem,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,celula_raster
Dinizia excelsa,Dinizia excelsa Ducke,-48.798889,-2.797222,Inventario_ou_base_local,Arquivo local,NA,87.70086669921875,40.61542892456055,31.78949928283691,25.851417541503903,2312,417,52,211,1124,8984
Dinizia excelsa,Dinizia excelsa Ducke,-56.893889,-2.891389,Inventario_ou_base_local,Arquivo local,NA,76.26275634765625,67.24627685546875,33.07324981689453,26.430707931518555,2474,341,75,289,941,9119
Dinizia excelsa,Dinizia excelsa Ducke,-59,-1,Inventario_ou_base_local,Arquivo local,NA,79.74312591552734,51.84115982055664,32.23225021362305,26.27833366394043,2273,339,101,313,646,7083
Dinizia excelsa,Dinizia excelsa Ducke,-56.457222,-1.815556,Inventario_ou_base_local,Arquivo local,NA,78.56199645996094,65.53587341308594,32.84225082397461,26.23200035095215,2431,399,61,274,983,7834
Dinizia excelsa,Dinizia excelsa Ducke,-51.986389,-2.301667,Inventario_ou_base_local,Arquivo local,NA,83.08879852294922,51.74192810058594,32.23149871826172,25.84145736694336,2174,342,47,163,878,8413
Dinizia excelsa,Dinizia excelsa Ducke,-48.473333,-2.102778,Inventario_ou_base_local,Arquivo local,NA,86.66753387451172,37.96368789672851,31.253250122070313,25.771333694458008,2390,419,72,334,1133,8250
Dinizia excelsa,Dinizia excelsa Ducke,-48.288222,-3.725667,Inventario_ou_base_local,Arquivo local,NA,85.0475082397461,41.24590301513672,31.98175048828125,25.653541564941406,1964,374,36,207,983,10091
Dinizia excelsa,Dinizia excelsa Ducke,-49.16,-3.035278,Inventario_ou_base_local,Arquivo local,NA,87.34009552001953,43.505584716796875,32.1515007019043,25.97366714477539,2350,423,46,213,1142,9350
Dinizia excelsa,Dinizia excelsa Ducke,-59.116667,-0.583333,Inventario_ou_base_local,Arquivo local,NA,80.0585708618164,51.33632278442383,32.129249572753906,26.200166702270508,2221,333,103,322,714,6530
Dinizia excelsa,Dinizia excelsa Ducke,-59.116667,0.583333,Inventario_ou_base_local,Arquivo local,NA,79.5179443359375,53.92979049682617,32.474998474121094,26.253623962402344,1925,334,79,261,817,5242
