especie,lon,lat,fonte,origem,id_origem,especie_padrao
Dinizia excelsa Ducke,-64.048056,-9.048333,GBIF,PRESERVED_SPECIMEN,4900605167,Dinizia excelsa
Dinizia excelsa Ducke,-64.736111,-9.444722,GBIF,PRESERVED_SPECIMEN,1094910876,Dinizia excelsa
Dinizia excelsa Ducke,-64.735833,-9.444722,GBIF,PRESERVED_SPECIMEN,1095254983,Dinizia excelsa
Dinizia excelsa Ducke,-64.440833,-9.264167,GBIF,PRESERVED_SPECIMEN,2302480487,Dinizia excelsa
Dinizia excelsa Ducke,-64.736111,-9.744722,GBIF,PRESERVED_SPECIMEN,4900553007,Dinizia excelsa
Dinizia excelsa Ducke,-65.145278,-4.881111,GBIF,PRESERVED_SPECIMEN,1314920205,Dinizia excelsa
Dinizia excelsa Ducke,-65.355556000000007,-4.898333,GBIF,PRESERVED_SPECIMEN,4415971523,Dinizia excelsa
Dinizia excelsa Ducke,-64.95,-9.646944,GBIF,PRESERVED_SPECIMEN,1077304289,Dinizia excelsa
Dinizia excelsa Ducke,-64.617222,-9.263055,GBIF,PRESERVED_SPECIMEN,1095252765,Dinizia excelsa
Dinizia excelsa Ducke,-64.617222,-9.263056,GBIF,PRESERVED_SPECIMEN,1424462922,Dinizia excelsa
Dinizia excelsa Ducke,-59.974722,-2.929444,GBIF,PRESERVED_SPECIMEN,1094875620,Dinizia excelsa
Dinizia excelsa Ducke,-59.974722,-2.979444,GBIF,PRESERVED_SPECIMEN,4900626005,Dinizia excelsa
Dinizia excelsa Ducke,-48.798889,-2.180556,GBIF,PRESERVED_SPECIMEN,1094838042,Dinizia excelsa
Dinizia excelsa Ducke,-48.798889,-2.797222,GBIF,PRESERVED_SPECIMEN,4900602567,Dinizia excelsa
Dinizia excelsa Ducke,-56.893889,-2.158056,GBIF,PRESERVED_SPECIMEN,1094914201,Dinizia excelsa
