lon,lat,classe,classe_nome
-50.08333333333333,1.5833333333333335,4,Muito alta
-62.25,1.416666666666667,2,Moderada
-62.08333333333333,1.416666666666667,2,Moderada
-61.916666666666664,1.416666666666667,2,Moderada
-61.75,1.416666666666667,2,Moderada
-61.58333333333333,1.416666666666667,2,Moderada
-61.416666666666664,1.416666666666667,1,Baixa
-61.25,1.416666666666667,2,Moderada
-61.08333333333333,1.416666666666667,1,Baixa
-60.916666666666664,1.416666666666667,1,Baixa
-60.75,1.416666666666667,2,Moderada
-60.58333333333333,1.416666666666667,2,Moderada
-60.416666666666664,1.416666666666667,3,Alta
-60.25,1.416666666666667,2,Moderada
-60.08333333333333,1.416666666666667,1,Baixa
-59.916666666666664,1.416666666666667,1,Baixa
-59.75,1.416666666666667,1,Baixa
-59.58333333333333,1.416666666666667,1,Baixa
-59.416666666666664,1.416666666666667,1,Baixa
-58.25,1.416666666666667,1,Baixa
-58.08333333333333,1.416666666666667,1,Baixa
-57.916666666666664,1.416666666666667,1,Baixa
-57.75,1.416666666666667,2,Moderada
-57.58333333333333,1.416666666666667,1,Baixa
-57.416666666666664,1.416666666666667,1,Baixa
-57.25,1.416666666666667,1,Baixa
-57.08333333333333,1.416666666666667,1,Baixa
-56.916666666666664,1.416666666666667,2,Moderada
-56.75,1.416666666666667,2,Moderada
-56.58333333333333,1.416666666666667,2,Moderada
-56.416666666666664,1.416666666666667,2,Moderada
-56.25,1.416666666666667,1,Baixa
-56.08333333333333,1.416666666666667,1,Baixa
-55.916666666666664,1.416666666666667,2,Moderada
-55.75,1.416666666666667,1,Baixa
-55.58333333333333,1.416666666666667,1,Baixa
-55.416666666666664,1.416666666666667,2,Moderada
-55.25,1.416666666666667,1,Baixa
-55.08333333333333,1.416666666666667,1,Baixa
-54.916666666666664,1.416666666666667,1,Baixa
-54.75,1.416666666666667,1,Baixa
-54.58333333333333,1.416666666666667,2,Moderada
-54.416666666666664,1.416666666666667,3,Alta
-54.25,1.416666666666667,2,Moderada
-54.08333333333333,1.416666666666667,3,Alta
-53.916666666666664,1.416666666666667,3,Alta
-53.75,1.416666666666667,3,Alta
-53.58333333333333,1.416666666666667,3,Alta
-53.416666666666664,1.416666666666667,3,Alta
-53.25,1.416666666666667,3,Alta
-53.08333333333333,1.416666666666667,3,Alta
-52.916666666666664,1.416666666666667,3,Alta
-52.75,1.416666666666667,4,Muito alta
-52.58333333333333,1.416666666666667,4,Muito alta
-52.416666666666664,1.416666666666667,4,Muito alta
-52.25,1.416666666666667,4,Muito alta
-52.08333333333333,1.416666666666667,4,Muito alta
-51.916666666666664,1.416666666666667,4,Muito alta
-51.75,1.416666666666667,4,Muito alta
-51.58333333333333,1.416666666666667,4,Muito alta
