lon,lat,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,pa,tipo
-59.116667,-0.583333,51.33632278442383,32.129249572753906,2221,103,322,156,0.1461978554725647,1,Presenca
-59.116667,0.583333,53.92979049682617,32.474998474121094,1925,79,261,160,0.077598676085472107,1,Presenca
-63,-5,27.64173698425293,32.416751861572266,2413,78,666,45,0.039696045219898224,1,Presenca
-52.916667,-1.116667,61.066070556640625,32.26824951171875,1903,41,142,80,0.10061599314212799,1,Presenca
-52.583333,-0.666667,62.38731002807617,32.42974853515625,2254,50,182,77,0.1400032639503479,1,Presenca
-52.7,-0.783333,61.535404205322266,31.978500366210938,2171,49,171,147,0.3317132890224457,1,Presenca
-54.718333,-2.436111,63.638057708740234,31.684249877929688,1989,29,140,24,0.15474794805049896,1,Presenca
-58.966667,-0.116667,52.8272590637207,31.878999710083008,2155,97,307,245,0.18239045143127441,1,Presenca
-63,-11,55.31306076049805,32.40774917602539,1736,10,259,317,0.015442794188857079,1,Presenca
-60.05,-3.166667,49.14425277709961,32.04050064086914,2198,54,368,27,0.022752391174435616,1,Presenca
-59.800556,-2.991389,49.45139694213867,31.88774871826172,2345,79,397,81,0.09139823168516159,1,Presenca
-53,-4,47.13689422607422,31.469499588012695,1678,37,186,189,0.035761792212724686,1,Presenca
-52.8731,-10.8339,56.69300079345703,34.96424865722656,2063,3,539,308,0.0211253073066473,1,Presenca
-51.855556,1.515833,68.22516632080078,32.217498779296875,2446,54,193,155,0.03864770755171776,1,Presenca
-67.81,-9.9747,85.01011657714844,32.122249603271484,1668,61,485,156,0.010193810798227787,1,Presenca
-48.81,-3.483056,41.86274337768555,31.859498977661133,2168,42,209,85,0.05944322794675827,1,Presenca
-52.63,0.57,64.842437744140625,30.774999618530273,2413,60,209,411,0.20217916369438171,1,Presenca
-52.08,0.39,65.759979248046875,31.98324966430664,2380,52,188,162,0.09188885241746902,1,Presenca
-51.61687,-0.012935833,65.7543716430664,32.82099914550781,2372,42,176,25,0.06260613352060318,1,Presenca
-51.18,2.75,66.43402099609375,32.5994987487793,2807,51,196,59,0.0840103030204773,1,Presenca
-51.36,1.35,72.65238189697266,32.20750045776367,2421,42,153,142,0.03502379730343819,1,Presenca
-51.71,2.48,65.8624496459961,32.22249984741211,2635,55,201,162,0.14087876677513123,1,Presenca
-51.04,2.21,73.14632415771484,32.58124923706055,2656,42,161,58,0.09607819467782974,1,Presenca
-52.45,0.9,65.03289794921875,32.054500579833984,2393,63,210,167,0.11728865653276443,1,Presenca
-51.18,3.24,62.537696838378906,32.94974899291992,2955,52,208,19,0.07012670487165451,1,Presenca
-51.31,2.93,64.55435943603516,32.60350036621094,2844,51,188,54,0.06918376684188843,1,Presenca
-51.899289,0.129209,64.46949768066406,32.22650146484375,2389,47,183,104,0.11639837920665741,1,Presenca
-51.18,1.76,73.1820297241211,32.3432502746582,2505,40,154,106,0.12287301570177078,1,Presenca
-51.4,2.39,68.14057159423828,32.47774887084961,2691,51,193,97,0.11272205412387848,1,Presenca
-51.8,3.43,56.937232971191406,32.486000061035156,3153,78,280,96,0.08882825821638107,1,Presenca
-51.18,3.43,62.414608001708984,33.23524856567383,2964,53,213,7,0.03918694704771042,1,Presenca
-51.04,2.48,72.23548126220703,32.7130012512207,2665,43,162,45,0.0871279165148735,1,Presenca
-51.31,2.16,72.06009674072266,32.4057502746582,2595,45,168,92,0.09356937557458878,1,Presenca
-51.53,2.03,69.57140350341797,32.013248443603516,2574,52,192,189,0.10740996152162552,1,Presenca
-52.18,1.22,66.46350860595703,32.052249908447266,2406,63,207,176,0.018457919359207153,1,Presenca
-52.22,0.81,65.7359619140625,31.930500030517578,2395,61,207,181,0.09753039479255676,1,Presenca
-51.93,2.93,59.46723556518555,32.35200119018555,2775,59,253,148,0.0854775458574295,1,Presenca
-51.75,3.24,57.92072296142578,32.44050216674805,3002,72,257,113,0.08326685428619385,1,Presenca
-52.35,0.16,63.537132263183594,31.69824981689453,2397,52,195,217,0.10982601344585419,1,Presenca
-52.95556944,1.018297222,63.070194244384766,31.513750076293945,2367,61,212,289,0.08493702858686447,1,Presenca
-52.08,0.9,67.31892395019531,32.19874954223633,2404,65,210,147,0.013106250204145908,1,Presenca
-52.08,1.26,67.700164794921875,32.138999938964844,2411,62,203,159,0.022688813507556915,1,Presenca
-53.225626,0.77088,60.67563247680664,31.760250091552734,2324,60,212,242,0.15044109523296356,1,Presenca
-52.384179,0.730238,65.02742004394531,31.780000686645508,2406,61,211,213,0.2383039891719818,1,Presenca
-60.17,-2.63,43.955692291259766,31.808250427246094,2355,82,409,69,0.04382116720080376,1,Presenca
-51.51,-1.73,48.858375549316406,32.18299865722656,2231,48,190,45,0.028323648497462273,1,Presenca
-52.08333333333333,2.5833333333333335,61.61842346191406,32.21125030517578,2617,53,244,182,0.0732765644788742,0,Background
-59.08333333333333,-9.25,39.03811264038086,34.177249908447266,1962,7,253,159,0.10432589799165726,0,Background
-58.58333333333333,-3.75,53.924259185791016,32.64400100708008,2255,83,340,37,0.00387984700500965,0,Background
