lon,lat,pa,tipo,pred_brt,pred_bin_brt
-55.91666666666667,-4.08333333333333,0,background,0.3511792672452199,1
-56.583333333333336,-4.416666666666664,0,background,0.10448109664815368,1
-60.083333333333336,-12.916666666666664,0,background,0.03467432948272457,0
-52.75,-6.2499999999999964,0,background,0.009228795734484749,0
-62.25,-2.0833333333333304,0,background,0.012720485012530851,0
-54.91666666666667,-2.4166666666666643,0,background,0.13207843370081668,1
-57.583333333333336,-14.749999999999996,0,background,0.008330648319883912,0
-63.25,-3.749999999999997,0,background,0.02922204499055835,0
-59.75,-4.416666666666664,0,background,0.06765622516016156,0
-61.583333333333336,-7.916666666666664,0,background,0.112939796212233,1
-51.41666666666667,-0.7499999999999973,0,background,0.13429736550000296,1
-62.583333333333336,2.916666666666669,0,background,0.046545184554300796,0
-68.58333333333333,-1.5833333333333304,0,background,0.018831411142639105,0
-56.91666666666667,-0.24999999999999736,0,background,0.10106784504643952,1
-53.75,-7.08333333333333,0,background,0.010562142467223222,0
-61.583333333333336,-10.916666666666664,0,background,0.0416921101523843,0
-53.41666666666667,1.4166666666666692,0,background,0.1446392174878853,1
-52.583333333333336,-10.416666666666664,0,background,0.026544054942158116,0
-54.25,-12.583333333333329,0,background,0.012704129313815189,0
-51.583333333333336,3.0833333333333357,0,background,0.47759637023844526,1
-48.75,-0.9166666666666644,0,background,0.0639626598161053,0
-66.25,-7.916666666666664,0,background,0.08898689172589425,1
-64.08333333333333,-2.0833333333333304,0,background,0.012379288214814398,0
-50.91666666666667,-2.0833333333333304,0,background,0.1269200428251131,1
-70.25,-9.416666666666664,0,background,0.01450425396464397,0
-48.75,-8.58333333333333,0,background,0.014731346631906846,0
-55.25,1.2500000000000029,0,background,0.06551231766279654,0
-56.75,-13.416666666666664,0,background,0.018009726616365875,0
-51.91666666666667,1.9166666666666692,0,background,0.2923954819488453,1
-53.75,-7.7499999999999964,0,background,0.009034437511907974,0
-64.91666666666667,-0.7499999999999973,0,background,0.046111374365278575,0
-61.583333333333336,-4.08333333333333,0,background,0.11310308207483125,1
-51.41666666666667,-9.58333333333333,0,background,0.013004978812908125,0
-54.25,-11.916666666666664,0,background,0.018220734987848854,0
-62.91666666666667,-1.0833333333333304,0,background,0.04022085552251185,0
-50.583333333333336,-7.58333333333333,0,background,0.01202788161286539,0
-61.41666666666667,4.083333333333336,0,background,0.06775963097982093,0
-59.41666666666667,-15.416666666666664,0,background,0.022630964431940463,0
-56.25,-2.2499999999999973,0,background,0.2622044184011843,1
-58.583333333333336,-0.4166666666666643,0,background,0.1651403365087212,1
-68.41666666666667,-7.58333333333333,0,background,0.03724579014496778,0
-59.75,-9.08333333333333,0,background,0.04801144276324629,0
-60.75,-2.5833333333333304,0,background,0.19863009823748753,1
-60.91666666666667,1.4166666666666692,0,background,0.043170154691945475,0
-56.75,0.7500000000000027,0,background,0.022388000380845215,0
-50.583333333333336,0.5833333333333357,0,background,0.0423672174276467,0
-65.41666666666667,-2.7499999999999964,0,background,0.012961055747012102,0
-54.91666666666667,-5.2499999999999964,0,background,0.009756624270109104,0
-49.41666666666667,-2.7499999999999964,0,background,0.18758810820010516,1
-62.583333333333336,-12.083333333333329,0,background,0.019811393048536446,0
-53.083333333333336,-4.416666666666664,0,background,0.014874238771650485,0
-63.583333333333336,-9.749999999999996,0,background,0.15703487487375953,1
-70.08333333333333,-9.249999999999996,0,background,0.014822921555585365,0
-54.91666666666667,-10.249999999999996,0,background,0.12134290313442707,1
-71.75,-8.749999999999996,0,background,0.012396875924553819,0
-72.41666666666667,-5.58333333333333,0,background,0.014642065310427138,0
-63.083333333333336,-5.7499999999999964,0,background,0.051323838522161616,0
-60.25,-6.2499999999999964,0,background,0.02405688051296694,0
-61.75,-4.08333333333333,0,background,0.03275825736251703,0
-60.41666666666667,-12.416666666666664,0,background,0.017650280817981968,0
-66.58333333333333,-3.916666666666664,0,background,0.017038529816124647,0
-53.083333333333336,0.0833333333333357,0,background,0.42034101736196977,1
-53.583333333333336,-10.249999999999996,0,background,0.09811688964611144,1
-50.41666666666667,-1.0833333333333304,0,background,0.3021248059970197,1
-69.08333333333333,0.7500000000000027,0,background,0.07295470367947658,0
-56.75,-1.9166666666666643,0,background,0.7263313764579953,1
-62.083333333333336,-8.916666666666664,0,background,0.06118743332062704,0
-56.25,-0.4166666666666643,0,background,0.0635465053953237,0
-47.583333333333336,-3.4166666666666643,0,background,0.04122954636306247,0
-64.58333333333333,-10.08333333333333,0,background,0.021005452534917465,0
-64.91666666666667,-9.249999999999996,0,background,0.09915236679172242,1
-55.083333333333336,-10.916666666666664,0,background,0.024558462046545024,0
-65.08333333333333,-3.5833333333333304,0,background,0.013563076244225451,0
-54.583333333333336,-8.416666666666664,0,background,0.018949546172303912,0
-65.91666666666667,-6.58333333333333,0,background,0.02918059368949718,0
-47.583333333333336,-4.7499999999999964,0,background,0.007175461319434553,0
-55.083333333333336,-11.416666666666664,0,background,0.017171529004623383,0
-58.91666666666667,-5.08333333333333,0,background,0.04315731985388949,0
-53.083333333333336,-3.2499999999999964,0,background,0.07064043308672636,0
-67.75,0.9166666666666696,0,background,0.02942536879197065,0
-72.08333333333333,-7.916666666666664,0,background,0.015361726571754246,0
-57.25,-2.0833333333333304,0,background,0.20693450202334937,1
-69.41666666666667,0.25000000000000266,0,background,0.04733916069791179,0
-69.41666666666667,-0.7499999999999973,0,background,0.01027517796626361,0
-53.91666666666667,-2.4166666666666643,0,background,0.09959630419882505,1
-58.75,-6.2499999999999964,0,background,0.028567604234686298,0
